#1
double	Pel(35040,2)
496800	0.1782
497700	0.1909
498600	0.2032
499500	0.2144
500400	0.2241
501300	0.2314
502200	0.2357
503100	0.2366
504000	0.2335
504900	0.2263
505800	0.2163
506700	0.2053
507600	0.1949
508500	0.1865
509400	0.1796
510300	0.1734
511200	0.1668
512100	0.1593
513000	0.1509
513900	0.1419
514800	0.1324
515700	0.1228
516600	0.1130
517500	0.1033
518400	0.0938
519300	0.0848
520200	0.0762
521100	0.0688
522000	0.0626
522900	0.0579
523800	0.0547
524700	0.0525
525600	0.0512
526500	0.0503
527400	0.0497
528300	0.0494
529200	0.0490
530100	0.0486
531000	0.0484
531900	0.0480
532800	0.0480
533700	0.0481
534600	0.0486
535500	0.0493
536400	0.0502
537300	0.0513
538200	0.0540
539100	0.0598
540000	0.0700
540900	0.0853
541800	0.1038
542700	0.1229
543600	0.1398
544500	0.1525
545400	0.1611
546300	0.1664
547200	0.1690
548100	0.1698
549000	0.1690
549900	0.1669
550800	0.1639
551700	0.1601
552600	0.1562
553500	0.1523
554400	0.1492
555300	0.1471
556200	0.1457
557100	0.1451
558000	0.1451
558900	0.1456
559800	0.1467
560700	0.1488
561600	0.1523
562500	0.1572
563400	0.1625
564300	0.1668
565200	0.1690
566100	0.1683
567000	0.1651
567900	0.1605
568800	0.1555
569700	0.1507
570600	0.1464
571500	0.1426
572400	0.1388
573300	0.1353
574200	0.1323
575100	0.1298
576000	0.1284
576900	0.1281
577800	0.1294
578700	0.1324
579600	0.1378
580500	0.1454
581400	0.1551
582300	0.1663
583200	0.1784
584100	0.1911
585000	0.2034
585900	0.2147
586800	0.2243
587700	0.2316
588600	0.2360
589500	0.2368
590400	0.2337
591300	0.2266
592200	0.2165
593100	0.2055
594000	0.1951
594900	0.1867
595800	0.1798
596700	0.1735
597600	0.1670
598500	0.1595
599400	0.1511
600300	0.1421
601200	0.1325
602100	0.1229
603000	0.1131
603900	0.1034
604800	0.0939
605700	0.0848
606600	0.0763
607500	0.0689
608400	0.0626
609300	0.0580
610200	0.0547
611100	0.0526
612000	0.0512
612900	0.0503
613800	0.0497
614700	0.0494
615600	0.0491
616500	0.0487
617400	0.0484
618300	0.0481
619200	0.0481
620100	0.0482
621000	0.0487
621900	0.0493
622800	0.0502
623700	0.0513
624600	0.0541
625500	0.0599
626400	0.0700
627300	0.0853
628200	0.1039
629100	0.1230
630000	0.1399
630900	0.1526
631800	0.1613
632700	0.1665
633600	0.1692
634500	0.1699
635400	0.1692
636300	0.1670
637200	0.1640
638100	0.1603
639000	0.1564
639900	0.1525
640800	0.1493
641700	0.1472
642600	0.1458
643500	0.1452
644400	0.1452
645300	0.1457
646200	0.1468
647100	0.1490
648000	0.1525
648900	0.1574
649800	0.1626
650700	0.1669
651600	0.1692
652500	0.1684
653400	0.1653
654300	0.1606
655200	0.1556
656100	0.1508
657000	0.1466
657900	0.1427
658800	0.1389
659700	0.1354
660600	0.1324
661500	0.1299
662400	0.1285
663300	0.1283
664200	0.1295
665100	0.1325
666000	0.1379
666900	0.1456
667800	0.1552
668700	0.1664
669600	0.1786
670500	0.1913
671400	0.2035
672300	0.2148
673200	0.2245
674100	0.2318
675000	0.2362
675900	0.2371
676800	0.2339
677700	0.2268
678600	0.2167
679500	0.2057
680400	0.1953
681300	0.1869
682200	0.1800
683100	0.1737
684000	0.1672
684900	0.1596
685800	0.1512
686700	0.1422
687600	0.1326
688500	0.1230
689400	0.1132
690300	0.1035
691200	0.0940
692100	0.0849
693000	0.0764
693900	0.0689
694800	0.0627
695700	0.0580
696600	0.0548
697500	0.0526
698400	0.0512
699300	0.0504
700200	0.0497
701100	0.0495
702000	0.0491
702900	0.0487
703800	0.0485
704700	0.0481
705600	0.0481
706500	0.0482
707400	0.0487
708300	0.0494
709200	0.0502
710100	0.0514
711000	0.0541
711900	0.0599
712800	0.0701
713700	0.0854
714600	0.1040
715500	0.1231
716400	0.1400
717300	0.1527
718200	0.1614
719100	0.1667
720000	0.1693
720900	0.1701
721800	0.1693
722700	0.1672
723600	0.1641
724500	0.1604
725400	0.1565
726300	0.1526
727200	0.1495
728100	0.1473
729000	0.1459
729900	0.1453
730800	0.1453
731700	0.1458
732600	0.1469
733500	0.1491
734400	0.1526
735300	0.1575
736200	0.1628
737100	0.1670
738000	0.1693
738900	0.1685
739800	0.1654
740700	0.1608
741600	0.1557
742500	0.1510
743400	0.1467
744300	0.1428
745200	0.1390
746100	0.1355
747000	0.1325
747900	0.1300
748800	0.1286
749700	0.1284
750600	0.1296
751500	0.1326
752400	0.1380
753300	0.1457
754200	0.1554
755100	0.1665
756000	0.1787
756900	0.1914
757800	0.2037
758700	0.2150
759600	0.2247
760500	0.2320
761400	0.2364
762300	0.2372
763200	0.2341
764100	0.2269
765000	0.2169
765900	0.2058
766800	0.1954
767700	0.1870
768600	0.1801
769500	0.1738
770400	0.1673
771300	0.1598
772200	0.1513
773100	0.1423
774000	0.1327
774900	0.1231
775800	0.1133
776700	0.1036
777600	0.0941
778500	0.0890
779400	0.0857
780300	0.0828
781200	0.0796
782100	0.0748
783000	0.0691
783900	0.0635
784800	0.0586
785700	0.0552
786600	0.0532
787500	0.0520
788400	0.0513
789300	0.0506
790200	0.0501
791100	0.0496
792000	0.0491
792900	0.0488
793800	0.0484
794700	0.0481
795600	0.0481
796500	0.0484
797400	0.0491
798300	0.0506
799200	0.0533
800100	0.0573
801000	0.0627
801900	0.0695
802800	0.0774
803700	0.0866
804600	0.0969
805500	0.1082
806400	0.1203
807300	0.1330
808200	0.1455
809100	0.1570
810000	0.1663
810900	0.1729
811800	0.1773
812700	0.1801
