#1
double	presence(8760,2)
2253600	1.0
2257200	1.0
2260800	1.0
2264400	1.0
2268000	0.862
2271600	0.621
2275200	0.483
2278800	0.172
2282400	0.207
2286000	0.172
2289600	0.345
2293200	0.517
2296800	0.345
2300400	0.379
2304000	0.345
2307600	0.448
2311200	0.483
2314800	0.69
2318400	0.862
2322000	0.862
2325600	1.0
2329200	1.0
2332800	1.0
2336400	1.0
2340000	1.0
2343600	1.0
2347200	1.0
2350800	1.0
2354400	0.862
2358000	0.621
2361600	0.483
2365200	0.172
2368800	0.207
2372400	0.172
2376000	0.345
2379600	0.517
2383200	0.345
2386800	0.379
2390400	0.345
2394000	0.448
2397600	0.483
2401200	0.69
2404800	0.862
2408400	0.862
2412000	1.0
2415600	1.0
2419200	1.0
2422800	1.0
2426400	1.0
2430000	1.0
2433600	1.0
2437200	1.0
2440800	0.862
2444400	0.621
2448000	0.483
2451600	0.172
2455200	0.207
2458800	0.172
2462400	0.345
2466000	0.517
2469600	0.345
2473200	0.379
2476800	0.345
2480400	0.448
2484000	0.483
2487600	0.69
2491200	0.862
2494800	0.862
2498400	1.0
2502000	1.0
2505600	1.0
2509200	1.0
2512800	1.0
2516400	1.0
2520000	1.0
2523600	1.0
2527200	0.862
2530800	0.621
2534400	0.483
2538000	0.172
2541600	0.207
2545200	0.172
2548800	0.345
2552400	0.517
2556000	0.345
2559600	0.379
2563200	0.345
2566800	0.448
2570400	0.483
2574000	0.69
2577600	0.862
2581200	0.862
2584800	1.0
2588400	1.0
2592000	0.996
2595600	0.996
2599200	0.996
2602800	1.0
2606400	1.0
2610000	0.996
2613600	0.822
2617200	0.724
2620800	0.655
2624400	0.552
2628000	0.448
2631600	0.31
2635200	0.586
2638800	0.655
2642400	0.552
2646000	0.483
2649600	0.448
2653200	0.483
2656800	0.517
2660400	0.69
2664000	0.759
2667600	0.793
2671200	0.793
2674800	0.966
2678400	0.996
2682000	0.996
2685600	1.0
2689200	1.0
2692800	1.0
2696400	0.996
2700000	0.822
2703600	0.724
2707200	0.655
2710800	0.552
2714400	0.448
2718000	0.31
2721600	0.586
2725200	0.655
2728800	0.552
2732400	0.483
2736000	0.448
2739600	0.483
2743200	0.517
2746800	0.69
2750400	0.759
2754000	0.793
2757600	0.793
2761200	0.966
2764800	1.0
2768400	1.0
2772000	1.0
2775600	1.0
2779200	1.0
2782800	1.0
2786400	0.862
2790000	0.621
2793600	0.483
2797200	0.172
2800800	0.207
2804400	0.172
2808000	0.345
2811600	0.517
2815200	0.345
2818800	0.379
2822400	0.345
2826000	0.448
2829600	0.483
2833200	0.69
2836800	0.862
2840400	0.862
2844000	1.0
2847600	1.0
2851200	1.0
2854800	1.0
2858400	1.0
2862000	1.0
2865600	1.0
2869200	1.0
2872800	0.862
2876400	0.621
2880000	0.483
2883600	0.172
2887200	0.207
2890800	0.172
2894400	0.345
2898000	0.517
2901600	0.345
2905200	0.379
2908800	0.345
2912400	0.448
2916000	0.483
2919600	0.69
2923200	0.862
2926800	0.862
2930400	1.0
2934000	1.0
2937600	1.0
2941200	1.0
2944800	1.0
2948400	1.0
2952000	1.0
2955600	1.0
2959200	0.862
2962800	0.621
2966400	0.483
2970000	0.172
2973600	0.207
2977200	0.172
2980800	0.345
2984400	0.517
2988000	0.345
2991600	0.379
2995200	0.345
2998800	0.448
3002400	0.483
3006000	0.69
3009600	0.862
3013200	0.862
3016800	1.0
3020400	1.0
3024000	1.0
3027600	1.0
3031200	1.0
3034800	1.0
3038400	1.0
3042000	1.0
3045600	0.862
3049200	0.621
3052800	0.483
3056400	0.172
3060000	0.207
3063600	0.172
3067200	0.345
3070800	0.517
3074400	0.345
3078000	0.379
3081600	0.345
3085200	0.448
3088800	0.483
3092400	0.69
3096000	0.862
3099600	0.862
3103200	1.0
3106800	1.0
3110400	1.0
3114000	1.0
3117600	1.0
3121200	1.0
3124800	1.0
3128400	1.0
3132000	0.862
3135600	0.621
3139200	0.483
3142800	0.172
3146400	0.207
3150000	0.172
3153600	0.345
3157200	0.517
3160800	0.345
3164400	0.379
3168000	0.345
3171600	0.448
3175200	0.483
3178800	0.69
3182400	0.862
3186000	0.862
3189600	1.0
3193200	1.0
3196800	0.996
3200400	0.996
3204000	0.996
3207600	1.0
3211200	1.0
3214800	0.996
3218400	0.822
3222000	0.724
3225600	0.655
3229200	0.552
3232800	0.448
3236400	0.31
3240000	0.586
3243600	0.655
3247200	0.552
3250800	0.483
3254400	0.448
3258000	0.483
3261600	0.517
3265200	0.69
3268800	0.759
3272400	0.793
3276000	0.793
3279600	0.966
3283200	0.996
3286800	0.996
3290400	1.0
3294000	1.0
3297600	1.0
3301200	0.996
3304800	0.822
3308400	0.724
3312000	0.655
3315600	0.552
3319200	0.448
3322800	0.31
3326400	0.586
3330000	0.655
3333600	0.552
3337200	0.483
3340800	0.448
3344400	0.483
3348000	0.517
3351600	0.69
3355200	0.759
3358800	0.793
3362400	0.793
3366000	0.966
3369600	1.0
3373200	1.0
3376800	1.0
3380400	1.0
3384000	1.0
